seed,method,metric,value
0,sage_selfloop_nomask,masked_num_mse,1.032910943031311
0,sage_selfloop_nomask,masked_cat_acc,0.42284640669822693
0,sage_selfloop_nomask,n_params,9552.0
0,sage_selfloop_nomask,best_step,2000.0
0,sage_selfloop_nomask,train_seconds,156.36504888534546
0,sage_selfloop_nomask,dim,16.0
0,sage_rand_nomask,probe_auc,0.8880442172804678
0,sage_rand_nomask,probe_ap,0.7321163771196532
0,sage_rand_nomask,probe_acc,0.837414645632211
0,sage_rand_nomask,probe_C,0.1
0,sage_rand_nomask,lowlabel_auc@50,0.840152988263914
0,sage_rand_nomask,lowlabel_auc@200,0.8663147023839766
0,sage_rand_nomask,lowlabel_auc@1000,0.8834148737780515
0,sage_rand_nomask,knn_auc,0.8869940736800265
0,sage_rand_nomask,knn_pos_p10,0.5687081339712918
0,sage_rand_nomask,base_rate,0.2460560395573346
0,sage_rand_nomask,recon_num_mse,0.0006423662416636944
0,sage_rand_nomask,recon_cat_acc,0.9988395571708679
0,sage_rand_nomask,masked_num_mse,1.0538959503173828
0,sage_rand_nomask,masked_cat_acc,0.41419538855552673
0,sage_rand_nomask,n_params,9552.0
0,sage_rand_nomask,best_step,1950.0
0,sage_rand_nomask,train_seconds,195.30473375320435
0,sage_rand_nomask,dim,16.0
0,sage_knn_nomask,probe_auc,0.8898063859609275
0,sage_knn_nomask,probe_ap,0.7336142469543842
0,sage_knn_nomask,probe_acc,0.8376501059571462
0,sage_knn_nomask,probe_C,10.0
0,sage_knn_nomask,lowlabel_auc@50,0.8384764120211947
0,sage_knn_nomask,lowlabel_auc@200,0.8683889890887573
0,sage_knn_nomask,lowlabel_auc@1000,0.8853496954654536
0,sage_knn_nomask,knn_auc,0.8872672656742646
0,sage_knn_nomask,knn_pos_p10,0.5723923444976077
0,sage_knn_nomask,base_rate,0.2460560395573346
0,sage_knn_nomask,recon_num_mse,0.0007956410408951342
0,sage_knn_nomask,recon_cat_acc,0.9988226890563965
0,sage_knn_nomask,masked_num_mse,1.1173486709594727
0,sage_knn_nomask,masked_cat_acc,0.507427990436554
0,sage_knn_nomask,n_params,9552.0
0,sage_knn_nomask,best_step,2000.0
0,sage_knn_nomask,train_seconds,176.478661775589
0,sage_knn_nomask,dim,16.0
0,mlp_ae_lr2x,probe_auc,0.8860456532848787
0,mlp_ae_lr2x,probe_ap,0.7240983264432119
0,mlp_ae_lr2x,probe_acc,0.8357664233576643
0,mlp_ae_lr2x,probe_C,0.1
0,mlp_ae_lr2x,lowlabel_auc@50,0.8382603837613454
0,mlp_ae_lr2x,lowlabel_auc@200,0.8590412615918878
0,mlp_ae_lr2x,lowlabel_auc@1000,0.8811760816355807
0,mlp_ae_lr2x,knn_auc,0.8842954014984654
0,mlp_ae_lr2x,knn_pos_p10,0.5655023923444976
0,mlp_ae_lr2x,base_rate,0.2460560395573346
0,mlp_ae_lr2x,recon_num_mse,0.009682544507086277
0,mlp_ae_lr2x,recon_cat_acc,0.9981163144111633
0,mlp_ae_lr2x,masked_num_mse,0.8497447371482849
0,mlp_ae_lr2x,masked_cat_acc,0.7082775235176086
0,mlp_ae_lr2x,n_params,4816.0
0,mlp_ae_lr2x,best_step,1750.0
0,mlp_ae_lr2x,train_seconds,123.4452474117279
0,mlp_ae_lr2x,dim,16.0
0,sage_knn_cleannbr,probe_auc,0.8776170097038634
0,sage_knn_cleannbr,probe_ap,0.7141495844056962
0,sage_knn_cleannbr,probe_acc,0.8342359312455851
0,sage_knn_cleannbr,probe_C,1.0
0,sage_knn_cleannbr,lowlabel_auc@50,0.8180276120785752
0,sage_knn_cleannbr,lowlabel_auc@200,0.8516936073148063
0,sage_knn_cleannbr,lowlabel_auc@1000,0.8725133140471415
0,sage_knn_cleannbr,knn_auc,0.8831543308757386
0,sage_knn_cleannbr,knn_pos_p10,0.5642583732057417
0,sage_knn_cleannbr,base_rate,0.2460560395573346
0,sage_knn_cleannbr,recon_num_mse,0.03655410185456276
0,sage_knn_cleannbr,recon_cat_acc,0.9920280575752258
0,sage_knn_cleannbr,masked_num_mse,0.03832807019352913
0,sage_knn_cleannbr,masked_cat_acc,0.9586377143859863
0,sage_knn_cleannbr,n_params,9552.0
0,sage_knn_cleannbr,best_step,2000.0
0,sage_knn_cleannbr,train_seconds,183.1367130279541
0,sage_knn_cleannbr,dim,16.0
1,raw,probe_auc,0.8959900585459446
1,raw,probe_ap,0.736984464394298
1,raw,probe_acc,0.835530963032729
1,raw,probe_C,0.1
1,raw,lowlabel_auc@50,0.7949949269146974
1,raw,lowlabel_auc@200,0.8338074289693344
1,raw,lowlabel_auc@1000,0.8808576353295937
1,raw,knn_auc,0.8924679626071026
1,raw,knn_pos_p10,0.5855023923444976
1,raw,base_rate,0.2460560395573346
1,raw,dim,53.0
1,hgb_ref,probe_auc,0.9285331909781267
1,hgb_ref,probe_ap,0.833617440452241
1,hgb_ref,probe_acc,0.8700259006357429
1,pca,probe_auc,0.8864384625039974
1,pca,probe_ap,0.7178402023210868
1,pca,probe_acc,0.8281139627972687
1,pca,probe_C,0.01
1,pca,lowlabel_auc@50,0.7964595057216035
1,pca,lowlabel_auc@200,0.858766545430637
1,pca,lowlabel_auc@1000,0.881350057081549
1,pca,knn_auc,0.8883833817978597
1,pca,knn_pos_p10,0.5724880382775119
1,pca,base_rate,0.2460560395573346
1,pca,dim,16.0
1,prop_knn,probe_auc,0.8860823378928839
1,prop_knn,probe_ap,0.718940002256091
1,prop_knn,probe_acc,0.827996232634801
1,prop_knn,probe_C,0.01
1,prop_knn,lowlabel_auc@50,0.791809619585845
1,prop_knn,lowlabel_auc@200,0.8604531557728572
1,prop_knn,lowlabel_auc@1000,0.880963015788577
1,prop_knn,knn_auc,0.8858114246777582
1,prop_knn,knn_pos_p10,0.5744976076555024
1,prop_knn,base_rate,0.2460560395573346
1,prop_knn,dim,16.0
1,prop_rand,probe_auc,0.8864352497990191
1,prop_rand,probe_ap,0.7178236913665244
1,prop_rand,probe_acc,0.827996232634801
1,prop_rand,probe_C,0.01
1,prop_rand,lowlabel_auc@50,0.7923418004297554
1,prop_rand,lowlabel_auc@200,0.8581764723901628
1,prop_rand,lowlabel_auc@1000,0.8808027279600967
1,prop_rand,knn_auc,0.886244019138756
1,prop_rand,knn_pos_p10,0.5712918660287082
1,prop_rand,base_rate,0.2460560395573346
1,prop_rand,dim,16.0
1,prop_bip,probe_auc,0.8873400371777208
1,prop_bip,probe_ap,0.7195994381206168
1,prop_bip,probe_acc,0.8287026136096067
1,prop_bip,probe_C,0.01
1,prop_bip,lowlabel_auc@50,0.7989771419776516
1,prop_bip,lowlabel_auc@200,0.8600329264903216
1,prop_bip,lowlabel_auc@1000,0.8823018209312959
1,prop_bip,knn_auc,0.8883824852290285
1,prop_bip,knn_pos_p10,0.5718181818181818
1,prop_bip,base_rate,0.2460560395573346
1,prop_bip,dim,16.0
1,mlp_ae,probe_auc,0.8772329046738133
1,mlp_ae,probe_ap,0.6839206682521868
1,mlp_ae,probe_acc,0.8263480103602543
1,mlp_ae,probe_C,1.0
1,mlp_ae,lowlabel_auc@50,0.8034626384825273
1,mlp_ae,lowlabel_auc@200,0.8498121538870741
1,mlp_ae,lowlabel_auc@1000,0.8728028161226984
1,mlp_ae,knn_auc,0.8861320227489398
1,mlp_ae,knn_pos_p10,0.5680382775119617
1,mlp_ae,base_rate,0.2460560395573346
1,mlp_ae,recon_num_mse,0.005966216791421175
1,mlp_ae,recon_cat_acc,0.995913028717041
1,mlp_ae,masked_num_mse,0.8520683646202087
1,mlp_ae,masked_cat_acc,0.7054405808448792
1,mlp_ae,n_params,4816.0
1,mlp_ae,best_step,2000.0
1,mlp_ae,train_seconds,98.99369502067566
1,mlp_ae,dim,16.0
1,sage_selfloop,probe_auc,0.8756303999593554
1,sage_selfloop,probe_ap,0.6815366423885375
1,sage_selfloop,probe_acc,0.8181068989875206
1,sage_selfloop,probe_C,0.01
1,sage_selfloop,lowlabel_auc@50,0.7973332195189011
1,sage_selfloop,lowlabel_auc@200,0.846868378465612
1,sage_selfloop,lowlabel_auc@1000,0.8703177253152186
1,sage_selfloop,knn_auc,0.887210296196456
1,sage_selfloop,knn_pos_p10,0.5699521531100479
1,sage_selfloop,base_rate,0.2460560395573346
1,sage_selfloop,recon_num_mse,0.00817899964749813
1,sage_selfloop,recon_cat_acc,0.9970903396606445
1,sage_selfloop,masked_num_mse,0.8560561537742615
1,sage_selfloop,masked_cat_acc,0.7029685974121094
1,sage_selfloop,n_params,9552.0
1,sage_selfloop,best_step,2000.0
1,sage_selfloop,train_seconds,232.48627400398254
1,sage_selfloop,dim,16.0
1,sage_rand,probe_auc,0.8731554590581844
1,sage_rand,probe_ap,0.6748186973469122
1,sage_rand,probe_acc,0.8222274546738875
1,sage_rand,probe_C,0.1
1,sage_rand,lowlabel_auc@50,0.7950715686069412
1,sage_rand,lowlabel_auc@200,0.8478517911950962
1,sage_rand,lowlabel_auc@1000,0.8674148857323025
1,sage_rand,knn_auc,0.8900466664076578
1,sage_rand,knn_pos_p10,0.5723444976076555
1,sage_rand,base_rate,0.2460560395573346
1,sage_rand,recon_num_mse,0.010113933123648167
1,sage_rand,recon_cat_acc,0.9933229684829712
1,sage_rand,masked_num_mse,0.8645130395889282
1,sage_rand,masked_cat_acc,0.6982220411300659
1,sage_rand,n_params,9552.0
1,sage_rand,best_step,2000.0
1,sage_rand,train_seconds,171.05476808547974
1,sage_rand,dim,16.0
1,sage_knn,probe_auc,0.8837360919760079
1,sage_knn,probe_ap,0.7065231225477698
1,sage_knn,probe_acc,0.8297621850718154
1,sage_knn,probe_C,0.01
1,sage_knn,lowlabel_auc@50,0.815778815722231
1,sage_knn,lowlabel_auc@200,0.8606200856820946
1,sage_knn,lowlabel_auc@1000,0.8776643634809584
1,sage_knn,knn_auc,0.8884597022196055
1,sage_knn,knn_pos_p10,0.5767464114832536
1,sage_knn,base_rate,0.2460560395573346
1,sage_knn,recon_num_mse,0.00647702207788825
1,sage_knn,recon_cat_acc,0.9953412413597107
1,sage_knn,masked_num_mse,0.8619219660758972
1,sage_knn,masked_cat_acc,0.7028144598007202
1,sage_knn,n_params,9552.0
1,sage_knn,best_step,2000.0
1,sage_knn,train_seconds,206.44489431381226
1,sage_knn,dim,16.0
1,sage_bip,probe_auc,0.8864071946660134
1,sage_bip,probe_ap,0.7193025832286826
1,sage_bip,probe_acc,0.8274075818224629
1,sage_bip,probe_C,1.0
1,sage_bip,lowlabel_auc@50,0.8188563480061803
1,sage_bip,lowlabel_auc@200,0.8631217069773974
1,sage_bip,lowlabel_auc@1000,0.8812337123329022
1,sage_bip,knn_auc,0.888050904189666
1,sage_bip,knn_pos_p10,0.5766028708133971
1,sage_bip,base_rate,0.2460560395573346
1,sage_bip,recon_num_mse,0.006616543047130108
1,sage_bip,recon_cat_acc,0.9954084753990173
1,sage_bip,masked_num_mse,0.8535049557685852
1,sage_bip,masked_cat_acc,0.7048391103744507
1,sage_bip,n_params,14736.0
1,sage_bip,best_step,2000.0
1,sage_bip,train_seconds,193.82415175437927
1,sage_bip,dim,16.0
1,sage_bip_nopool,probe_auc,0.8831016574569123
1,sage_bip_nopool,probe_ap,0.713791391604417
1,sage_bip_nopool,probe_acc,0.8309394866964916
1,sage_bip_nopool,probe_C,0.1
1,sage_bip_nopool,lowlabel_auc@50,0.8172008859594332
1,sage_bip_nopool,lowlabel_auc@200,0.8572794814245881
1,sage_bip_nopool,lowlabel_auc@1000,0.8783704786780987
1,sage_bip_nopool,knn_auc,0.8886511570220765
1,sage_bip_nopool,knn_pos_p10,0.5791866028708134
1,sage_bip_nopool,base_rate,0.2460560395573346
1,sage_bip_nopool,recon_num_mse,0.006267796270549297
1,sage_bip_nopool,recon_cat_acc,0.9937267303466797
1,sage_bip_nopool,masked_num_mse,0.8532980680465698
1,sage_bip_nopool,masked_cat_acc,0.7025843858718872
1,sage_bip_nopool,n_params,14736.0
1,sage_bip_nopool,best_step,1850.0
1,sage_bip_nopool,train_seconds,171.27547359466553
1,sage_bip_nopool,dim,16.0
1,sage_knn_k5,probe_auc,0.8781180422523005
1,sage_knn_k5,probe_ap,0.7013322759652577
1,sage_knn_k5,probe_acc,0.8275253119849305
1,sage_knn_k5,probe_C,1.0
1,sage_knn_k5,lowlabel_auc@50,0.8074970413228574
1,sage_knn_k5,lowlabel_auc@200,0.8532732868811059
1,sage_knn_k5,lowlabel_auc@1000,0.8731032600736979
1,sage_knn_k5,knn_auc,0.8887039425120066
1,sage_knn_k5,knn_pos_p10,0.5747846889952153
1,sage_knn_k5,base_rate,0.2460560395573346
1,sage_knn_k5,recon_num_mse,0.006415231619030237
1,sage_knn_k5,recon_cat_acc,0.9956103563308716
1,sage_knn_k5,masked_num_mse,0.861318826675415
1,sage_knn_k5,masked_cat_acc,0.7008408904075623
1,sage_knn_k5,n_params,9552.0
1,sage_knn_k5,best_step,2000.0
1,sage_knn_k5,train_seconds,153.04935097694397
1,sage_knn_k5,dim,16.0
1,sage_knn_k20,probe_auc,0.8743456168244129
1,sage_knn_k20,probe_ap,0.6903075730280308
1,sage_knn_k20,probe_acc,0.822698375323758
1,sage_knn_k20,probe_C,100.0
1,sage_knn_k20,lowlabel_auc@50,0.8051011927354015
1,sage_knn_k20,lowlabel_auc@200,0.8500131608832996
1,sage_knn_k20,lowlabel_auc@1000,0.8690182646013707
1,sage_knn_k20,knn_auc,0.8883379182867168
1,sage_knn_k20,knn_pos_p10,0.5763636363636364
1,sage_knn_k20,base_rate,0.2460560395573346
1,sage_knn_k20,recon_num_mse,0.008701654151082039
1,sage_knn_k20,recon_cat_acc,0.9958290457725525
1,sage_knn_k20,masked_num_mse,0.8646380305290222
1,sage_knn_k20,masked_cat_acc,0.7032972574234009
1,sage_knn_k20,n_params,9552.0
1,sage_knn_k20,best_step,2000.0
1,sage_knn_k20,train_seconds,226.1539430618286
1,sage_knn_k20,dim,16.0
1,mlp_ae_nomask,probe_auc,0.883822349368965
1,mlp_ae_nomask,probe_ap,0.7096933906861933
1,mlp_ae_nomask,probe_acc,0.8269366611725925
1,mlp_ae_nomask,probe_C,0.01
1,mlp_ae_nomask,lowlabel_auc@50,0.8179226724326003
1,mlp_ae_nomask,lowlabel_auc@200,0.8579412986500661
1,mlp_ae_nomask,lowlabel_auc@1000,0.8789085357835564
1,mlp_ae_nomask,knn_auc,0.8889221823083061
1,mlp_ae_nomask,knn_pos_p10,0.5774641148325359
1,mlp_ae_nomask,base_rate,0.2460560395573346
1,mlp_ae_nomask,recon_num_mse,0.0005090601625852287
1,mlp_ae_nomask,recon_cat_acc,0.999411404132843
1,mlp_ae_nomask,masked_num_mse,1.0689297914505005
1,mlp_ae_nomask,masked_cat_acc,0.4344206750392914
1,mlp_ae_nomask,n_params,4816.0
1,mlp_ae_nomask,best_step,2000.0
1,mlp_ae_nomask,train_seconds,104.55221748352051
1,mlp_ae_nomask,dim,16.0
1,sage_selfloop_nomask,probe_auc,0.8790269015477766
1,sage_selfloop_nomask,probe_ap,0.6986894436060083
1,sage_selfloop_nomask,probe_acc,0.8248175182481752
1,sage_selfloop_nomask,probe_C,0.01
1,sage_selfloop_nomask,lowlabel_auc@50,0.8019247016667215
1,sage_selfloop_nomask,lowlabel_auc@200,0.8523828856964398
1,sage_selfloop_nomask,lowlabel_auc@1000,0.8738237016936186
1,sage_selfloop_nomask,knn_auc,0.8869400927649884
1,sage_selfloop_nomask,knn_pos_p10,0.5714832535885167
1,sage_selfloop_nomask,base_rate,0.2460560395573346
1,sage_selfloop_nomask,recon_num_mse,0.0005410942831076682
1,sage_selfloop_nomask,recon_cat_acc,0.9992431998252869
1,sage_selfloop_nomask,masked_num_mse,1.0658897161483765
1,sage_selfloop_nomask,masked_cat_acc,0.47704648971557617
1,sage_selfloop_nomask,n_params,9552.0
1,sage_selfloop_nomask,best_step,2000.0
1,sage_selfloop_nomask,train_seconds,160.37017917633057
1,sage_selfloop_nomask,dim,16.0
1,sage_rand_nomask,probe_auc,0.8838938880902786
1,sage_rand_nomask,probe_ap,0.7139327323527078
1,sage_rand_nomask,probe_acc,0.8285848834471392
1,sage_rand_nomask,probe_C,100.0
1,sage_rand_nomask,lowlabel_auc@50,0.8177689594422146
1,sage_rand_nomask,lowlabel_auc@200,0.8548923706475318
1,sage_rand_nomask,lowlabel_auc@1000,0.8784495709918143
1,sage_rand_nomask,knn_auc,0.8896607682399458
